id|nome|sku|descricao|imagem|preco|marca|alturaProduto|larguraProduto|pesoBruto|profundidadeProduto|categoria
807874|Azeite de Oliva Extra Virgem Português Gallo Ancestral Gourmet Vidro 400ml|1318369||https://static.paodeacucar.com/img/uploads/1/23/28586023.png|39.99|Gallo|23|6.19|648.0|6.19|alimentos
1944|Pão de Forma Tradicional Pullman 480g|3796832| Versátil, prático e para qualquer momento, trazendo a energia necessária para o seu dia. Perfeito para sanduíches, torradas, receitas para o café da manhã, café da tarde, almoço e jantar.|https://static.paodeacucar.com/img/uploads/1/998/25003998.jpg|9.99|Pullman|27|10|515.0|10.3|alimentos
273343|Massa de Tapioca DA TERRINHA  Pacote 500g|1021136|MASSA TAPIOCA DA TERRINHA 500G|https://static.paodeacucar.com/img/uploads/1/793/554793.jpg|9.99|Da Terrinha|19.6|15|512.1|3|alimentos
3714|Couve-Manteiga Qualitá Unidade|2373133|Ingrediente:Couve manteiga.|https://static.paodeacucar.com/img/uploads/1/614/23627614.png|5.99|Bandeiras|37.1|21.58|286.0|6.4|alimentos
50670|Leite Condensado Integral Moça Lata 395g|0249966|Moça faz todas as receitas darem certo desde 1921, com seu sabor único e original, tem consistência perfeita, é sem comparação! É leite condensado obtido a partir de leite fresco, puro e integral. É um clássico no preparo de sobremesas, também é uma delícia na colher, na salada de frutas e o que mais você imaginar. Leite Condensado Integral com 8% de gordura.|https://static.paodeacucar.com/img/uploads/1/667/20081667.jpg|8.89|Moça|10|6.8|440.0|6.8|alimentos
34660|Brócolis Ninja QUALITÁ 300g|3007808|Fonte de fibras, contém ferro, potássio, cálcio e magnésio. Também possui vitaminas A, C, E e K.Dica de consumo:Consumo como saladas, sopas, cremes, composição de pratos. NÃO CONTÉM GLÚTEN.|https://static.paodeacucar.com/img/uploads/1/386/24783386.jpg|9.9|Qualitá|10.3|15.3|412.0|15.6|alimentos
140452|Iogurte Natural Nestlé Tradicional 170g |4286912|"""Descubra a pureza e a qualidade do Iogurte Natural Nestlé® Integral. Este iogurte foi pensado em todos que buscam uma experiência simples e natural.Ele é feito apenas com dois ingredientes: leite e fermento, sendo uma opção para quem procura uma alimentação mais equilibrada, livre de produtos que contém diversos ingredientes. Com o Iogurte Natural Integral você pode aproveitar os benefícios do leite e do fermento de forma pura e autêntica. A versatilidade deste iogurte é outro diferencial, pois permite que seja usado conforme o gosto de cada um. Pode ser consumido puro, servido com frutas, adicionado a smoothies ou utilizado em receitas.Linha Nestlé® é tradição e qualidade!"""|https://static.paodeacucar.com/img/uploads/1/373/24784373.jpg|3.59|Nestlé|9.1|6.7|178.7|6.7|alimentos
339743|Queijo Mussarela Fatiado Président 150g|1102447||https://static.paodeacucar.com/img/uploads/1/296/26941296.jpg|11.79|President|18.8|13.2|164.2|1.7|alimentos
17527|Salsicha Hot Dog Sadia a Granel 500g|0012744| Imagem meramente ilustrativa.|https://static.paodeacucar.com/img/uploads/1/844/665844.jpg|6.89|Sadia|1|1|1000.0|1|alimentos
65885|Filé de Peito de Frango Zip SADIA Pacote 1kg|1799316|Ingrediente:Filé de Frango.|https://static.paodeacucar.com/img/uploads/1/999/28039999.png|29.9|Sadia|22|14|1070.0|7|alimentos
