,id,nome,sku,descricao,imagem,preco,marca,alturaProduto,larguraProduto,pesoBruto,profundidadeProduto,categoria
0,3714,Couve-Manteiga Qualitá Unidade,2373133,Ingrediente:Couve manteiga.,https://static.paodeacucar.com/img/uploads/1/614/23627614.png,5.99,Qualitá,37.1,21.58,150.0,6.4,alimentos
1,50670,Leite Condensado Integral Moça Lata 395g,0249966,"Moça faz todas as receitas darem certo desde 1921, com seu sabor único e original, tem consistência perfeita, é sem comparação! É leite condensado obtido a partir de leite fresco, puro e integral. É um clássico no preparo de sobremesas, também é uma delícia na colher, na salada de frutas e o que mais você imaginar. Leite Condensado Integral com 8% de gordura.",https://static.paodeacucar.com/img/uploads/1/749/32843749.jpg,8.89,Moça,10,6.8,440.0,6.8,alimentos
2,455115,Ovos Caipira Grande Qualitá Bandeja 20 Unidades,1216280,,https://static.paodeacucar.com/img/uploads/1/952/32841952.png,22.9,Qualitá,5.5,29.2,1770.0,29.2,alimentos
3,77617,Salsa e Cebolinha Unidade,2370880,Ingredientes:Salsa e cebolinha.,https://static.paodeacucar.com/img/uploads/1/763/601763.JPG,5.99,Qualitá,36.8,10.04,130.0,5.4,alimentos
4,9461,Feijão Carioca Tipo 1 CAMIL Pacote 1kg,0468084,FEIJAO CARIOCA CAMIL T1 1KG,https://static.paodeacucar.com/img/uploads/1/29/10519029.jpeg,7.99,Camil,22.5,14.5,1012.0,4,alimentos
5,43804,Creme de Leite Nestlé 200g,0783682,"O Creme de Leite Nestlé® com 17% de gordura é um produto pronto para consumo e utilizado em preparações alimentícias, sendo ideal para o preparo de pratos doces e salgados, trazendo ainda mais cremosidade!",https://static.paodeacucar.com/img/uploads/1/845/670845.jpg,5.69,Nestlé,8.6,6.6,209.0,4,alimentos
6,74215,Açúcar Refinado UNIÃO Pacote 1kg,0248334,Ingredientes:Origem vegetal: sacarose de cana de açúcar.NÃO CONTÉM GLÚTEN.,https://static.paodeacucar.com/img/uploads/1/542/458542.jpg,4.99,União,24.5,15.5,1008.9999999999999,4,alimentos
7,339743,Queijo Mussarela Fatiado Président 150g,1102447,,https://static.paodeacucar.com/img/uploads/1/296/26941296.jpg,13.49,President,18.8,13.2,164.2,1.7,alimentos
8,5639,Alface Crespa Naturalmente Fresca Qualitá,2373423,Ingrediente:Alface crespa.NÃO CONTÉM GLÚTEN.,https://static.paodeacucar.com/img/uploads/1/41/24290041.jpg,5.99,Qualitá,23.52,19.21,414.0,14.1,alimentos
9,90515,Café Torrado e Moído a Vácuo Tradicional Pilão Pacote 500g,1914795,CAFE VACUO PILAO               500G,https://static.paodeacucar.com/img/uploads/1/205/18551205.png,25.99,Pilão,18.5,9.5,514.3,6.5,alimentos
